Issue Number,Issue Title,Issue Author(s),Issue Editor(s),Keywords
"#779","We're Dying For Your Business","Pigeontree","Ransium & Lenyo",""
"#780","Vexing VAT","Nuremgard","Helaw",""
"#781","The White Man's Burden","The Marsupial Illuminati","Candlewhisper Archive",""
"#782","Sit-Down Money","Frieden-und Freudenland","Candlewhisper Archive",""
"#783","Sergeant McCool Reporting For Duty","Annihilators of Chan Island","The Free Joy State",""
"#784","The Driving Force","Petreniax","Candlewhisper Archive",""
"#785","Born To Be My Baby","Frieden-und Freudenland","Nation of Quebec",""
"#786","Tainted Tattoos","Nuremgard","Nation of Quebec",""
"#787","Come Fly With Me","Thyerata","Pogaria",""
"#788","Duel Purposes","Singapore no2","Ransium",""
"#789","@@CAPITAL@@gate: @@CAPITAL@@gate","Nation of Quebec","Nation of Quebec",""
"#790","@@CAPITAL@@gate: The Art Of The Distraction","Nation of Quebec","Nation of Quebec",""
"#791","@@CAPITAL@@gate: The Smoking Gun?","Nation of Quebec","Nation of Quebec",""
"#792","@@CAPITAL@@gate: Why Can't We Be Friends?","Nation of Quebec","Nation of Quebec",""
"#793","@@CAPITAL@@gate: Knock Knock. Who's There? Not You Anymore!","Nation of Quebec","Nation of Quebec",""
"#794","@@CAPITAL@@gate: Fear And Loathing In @@CAPITAL@@","Nation of Quebec","Nation of Quebec",""
"#795","@@CAPITAL@@gate: Lock Him Up!","Nation of Quebec","Nation of Quebec",""
"#796","@@CAPITAL@@gate: It's Dangerous To Go Alone!","Nation of Quebec","Nation of Quebec",""
"#797","@@CAPITAL@@gate: Yesterday's News","Nation of Quebec","Nation of Quebec",""
"#798","A Periodic Issue of Elementary Natur","Island of Stability","Ransium",""
"#799","A Political Cock-Up","Iraines","Caracasus",""
"#800","Please Call 1-800-NTA-VRUS, Your Government May Be Compromised","Luna Amore","Caracasus",""
"#801","Animation Provocation","Montagna","Candlewhisper Archive",""
"#802","No Lock, No Gun Stock, And No Smoking Barrels","Jutsa","Ransium",""
"#803","Park That Thought","Candlewhisper Archive","Candlewhisper Archive",""
"#804","Motivational Posters","Omakhandia","Gnejs",""
"#805","Solving A Dissolving Dilemma","TBA","Pogaria",""
"#806","Unlicensed To Kill","Ransium","Candlewhisper Archive",""
"#807","Have War Crimes, Will Travel","Annihilators of Chan Island","Caracasus",""
"#808","Big Trouble In Little Daguo","Laeral","Pogaria",""
"#809","So Long, And Thanks For All The Fish","Szczuropolis","Ransium",""
"#810","Armed and Unready","Annihilators of Chan Island","Candlewhisper Archive",""
"#811","Get Baked","White Girls Metropolis","Candlewhisper Archive",""
"#812","The Old Boys' Club","Nation of Quebec","The Free Joy State",""
"#813","A Little Birdie Told Me","Frieden-und Freudenland","Nation of Quebec",""
"#814","A Topic Of Ethical Import","Ransium","Ransium",""
"#815","Embargoed In","Caracasus","Candlewhisper Archive",""
"#816","A Hot Topic","The Atlae Isles","Ransium",""
"#817","Back-Alley Blues","The Free Joy State","Nation of Quebec",""
"#818","We Are Not Amused","Orisoun","Pogaria",""
"#819","Damned Cold","Candlewhisper Archive","Nation of Quebec",""
"#820","These Heels Weren't Made For Working","Baggieland","Candlewhisper Archive",""
"#821","A Switch In Time Kills Nine","Ransium","Candlewhisper Archive",""
"#822","Never Work With Children","Frieden-und Freudenland","The Free Joy State",""
"#823","Where The Sun Don't Shine","Frieden-und Freudenland","Candlewhisper Archive",""
"#824","Period Drama","Candlewhisper Archive","The Free Joy State",""
"#825","Bugging Out On Beef","Arcunem","Caracasus",""
"#826","Licencing Driving @@DEMONYMPLURAL@@ Crazy","Omakhandia","Ransium",""
"#827","Making Money Hand Over Fist","Kaschovia","Ransium",""
"#828","Your Execution In 30 Years Or Less Or You're Free","Saithal","Nation of Quebec",""
"#829","Winning At Battleship","Annihilators of Chan Island","Sedgistan & Candlewhisper Archive",""
"#830","Unreasonable Adjustments?","Dragude Sultanate","Caracasus",""
"#831","Give Us A Break, @@LEADER@@","Baggieland","Candlewhisper Archive",""
"#832","Moderating Your Opinion","Carrasastova","Ransium",""
"#833","Twitching Up A Storm","Nation of Quebec","Ransium",""
"#834","Government And CO","Nation of Quebec","Candlewhisper Archive",""
"#835","The End Is In Sight?","Candlewhisper Archive","Candlewhisper Archive",""
"#836","Don't Drink The Grape Punch","Galway-Dublin","The Free Joy State",""
"#837","Wag The Dog","Separatist Peoples","Gnejs",""
"#838","The Bark Knight Rises","Caracasus","Helaw",""
"#839","\"Partisanship Too Far?\" Wrongly Asks Opposition","Ransium","Caracasus",""
"#840","Abstinence Makes The Heart Grow Fonder","The Free Joy State","The Free Joy State",""
"#841","Burn Noticed","The Marsupial Illuminati","Candlewhisper Archive",""
"#842","@@LEADER@@ And The Chocolate Factory","Marilyn Manson Freaks","Candlewhisper Archive",""
"#843","Quacking Up","The Free Joy State","Nation of Quebec",""
"#844","Essentially On Strike","Socialist Nordia","Candlewhisper Archive",""
"#845","A Comedy Of Errors","Kaschovia","Nation of Quebec",""
"#846","Use Your Words","Nation of Quebec","Candlewhisper Archive",""
"#847","All The Lonely People","Candlewhisper Archive","The Free Joy State",""
"#848","It's A Girl Thing","Braskia","The Free Joy State",""
"#849","Sky High","Kaschovia","Candlewhisper Archive",""
"#850","The Prints And The Slaughter","Singapore no2","Nation of Quebec",""
"#851","Commercial Tidings Well In Advance","Solvada","Pogaria",""
"#852","Brown Breeches Thanks To Speeches","Helaw","Helaw",""
"#853","Silence Is Golden","Siarki","Nation of Quebec",""
"#854","An Armoury of Antiques","Vlanlados","Candlewhisper Archive",""
"#855","Thin Evidence","USS Monitor","The Free Joy State",""
"#856","You Got Stones","Abhichandra","Candlewhisper Archive",""
"#857","Are You There God Particle? It's Me, @@LEADER@@","Sedgistan","Luna Amore",""
"#858","Reporting For (Jury) Duty","Nation of Quebec","Candlewhisper Archive",""
"#859","A Cola by Any Other Name","Jutsa","Caracasus",""
"#860","A Blast From the Past","Singapore no2","Helaw",""
"#861","Out With the Old","The Free Joy State","Candlewhisper Archive",""
"#862","Friends Close, Enemies Closer","Candlewhisper Archive","Candlewhisper Archive",""
"#863","Oiling the Wheels of Diplomacy","Argentinstan","Candlewhisper Archive",""
"#864","The Missionary Position","Caracasus","The Free Joy State",""
"#865","A Funeral for a Fiend?","Nation of Quebec","Nation of Quebec",""
"#866","O Medication, Where Art Thou?","Palos Heights","Candlewhisper Archive",""
"#867","Museums: Things of the Past?","Het Dietsche Rijk","Pogaria",""
"#868","All In The Family","Drasnia","Nation of Quebec & Wyethalania",""
"#869","I'll Be in My Bunker","Ilyichicov","Candlewhisper Archive",""
"#870","@@DEMONYMPLURAL@@ Literally Exploding With Excitement","Singapore no2","Candlewhisper Archive",""
"#871","It's Not Easy Being Red","The Grene Knyght","Pogaria",""
"#872","Party On, @@LEADER@@!","Fauxia","Candlewhisper Archive",""
"#873","Terrified Testimony!","Euro-Asiata","Pogaria",""
"#874","Still Life","The Free Joy State","Candlewhisper Archive",""
"#875","They See Me Trollin', They Threatenin'","Nation of Quebec","Ransium",""
"#876","Sequels: The Saga Continues","Nation of Quebec","The Free Joy State",""
"#877","Gunning for Profits","Candlewhisper Archive","Pogaria",""
"#878","DoublePlusUnGood","Candlewhisper Archive","The Free Joy State",""
"#879","Power to the (AI) People","Kenmoria","Caracasus",""
"#880","Oh @@NAME@@, What Obscene Children's Books You Have","Jutsa","The Free Joy State",""
"#881","Blooming Out of Proportion","Frieden-und Freudenland","Candlewhisper Archive",""
"#882","Death by Chocolate","USS Monitor","The Free Joy State",""
"#883","Who Let the Dinos Out?","Singapore No2","Candlewhisper Archive",""
"#884","You're Psychotic, @@LEADER@@","Jutsa","Ransium",""
"#885","Has Beans","Perezidence","Nation of Quebec & Sedgistan",""
"#886","Bounty on the Table","Ransium","Candlewhisper Archive",""
"#887","Thin Skin","New Fulford","Candlewhisper Archive",""
"#888","Criminal Patterns","Annopolis","Caracasus",""
"#889","A Plank Too Far","Singapore No2","Candlewhisper Archive",""
"#890","Mining Blues","Candlewhisper Archive","Candlewhisper Archive",""
"#891","Preach It!","Glacikaldr","Nation of Quebec",""
"#892","The Old Metric","Shwe Tu Colony","Ransium",""
"#893","Bread is the Stuff of Strife","Zaluzianskya","Helaw",""
"#894","Seigneurs Demand Rights","Nuremgard","The Free Joy State",""
"#895","Stop Training and Start Coaching","Jutsa & Australian rePublic","Candlewhisper Archive",""
"#896","It's Our Lot in Life","Nation of Quebec","Candlewhisper Archive",""
"#897","The Devil's Playground","Anatidia","The Free Joy State",""
"#898","Two's Company, Three's a Crowd, Four's an Uprising","The Marsupial Illuminati","The Free Joy State",""
"#899","Uncultured Singles in Your Area","Ljeb Bodo","Zwangzug",""
"#900","Piracy on the High Trees","Ransium","Nation of Quebec",""
"#901","You Buy That?","Frieden-und Freudenland","Candlewhisper Archive",""
"#902","Killer App","Candlewhisper Archive","The Free Joy State",""
"#903","Every Breath You Take","Ransium","Ransium",""
"#904","Yours Insincerely","Nation of Quebec","The Free Joy State",""
"#905","Stage Directions","The Free Joy State","Candlewhisper Archive",""
"#906","Internet Killed the Television Star","Nation of Quebec","Nation of Quebec",""
"#907","A Problem Shared","Singapore no2","Candlewhisper Archive",""
"#908","The Forbidden Fruit","Singapore no2","The Free Joy State",""
"#909","On the Fence","Fauxia","Ransium",""
"#910","A for Effort","Orgrua","Baggieland",""
"#911","For Crying Out Loud","Drasnia","Ransium",""
"#912","Ambassadors Behaving Madly","Nation of Quebec","Pogaria",""
"#913","Couped Up","Allahad","The Free Joy State",""
"#914","Shepherds Without a Flock","Sunset Sea Islands","Nation of Quebec",""
"#915","Clasp of Controversy","Fauxia","Nation of Quebec",""
"#916","Swing and a Miss","Nation of Quebec","Zwangzug",""
"#917","School's In, Cash Is Out!","Lancaster of Wessex","Candlewhisper Archive",""
"#918","J'Accuse!","Nation of Quebec","The Free Joy State",""
"#919","The Meaning of Life","Candlewhisper Archive","Candlewhisper Archive",""
"#920","Central Planning Theatrics","Caracasus","Candlewhisper Archive",""
"#921","It's a Mad, Mad, Mad, Mad @@NAME@@","Westfacto","Nation of Quebec",""
"#922","I'll Have What She's Having","Candlewhisper Archive","The Free Joy State",""
"#923","Ministers Exposing Themselves","Nation of Quebec","Caracasus",""
"#924","Total Eclipse of the Brain","Baggieland","Candlewhisper Archive",""
"#925","Ring of Death","Singapore no2","Candlewhisper Archive",""
"#926","Ghost in the Machine","Union of socialist states of america","Zwangzug",""
"#927","Your Assignment, Should You Choose to Accept It","Fauxia","Baggieland",""
"#928","Get A Life","The Free Joy State","Nation of Quebec",""
"#929","Champagne in the Glass","Lancaster of Wessex","Pogaria",""
"#930","Flag It Down?","Christo Pax","Zwangzug",""
"#931","In the Navy","USS Monitor","The Free Joy State",""
"#932","Teacher's Past Blown Wide Open","Yetiglanchi Baby","Candlewhisper Archive",""
"#933","A Gun in Every Hand and a Tank in Every Garage?","Nation of Quebec","Nation of Quebec",""
"#934","@@LEADER@@, Don't Tear Down That Wall!","Bears Armed","Candlewhisper Archive",""
"#935","Hero to Zero","Candlewhisper Archive","Candlewhisper Archive",""
"#936","Hackable Elections?","Nation of Quebec","The Free Joy State",""
"#937","Ebony Pride","Jutsa","Candlewhisper Archive",""
"#938","A Little Gift From a Friend","Jutsa","Baggieland",""
"#939","A Question of Bad Faith","Nation of Quebec","Candlewhisper Archive",""
"#940","The Court of the Crimson Lord","Altmer Dominion","Pogaria",""
"#941","Scents and Sensibility","Lancaster of Wessex","Nation of Quebec",""
"#942","A Foreign Exchange of Ideas","Benetania","Caracasus",""
"#943","Big Love, Big Problems?","The Free Joy State","The Free Joy State",""
"#944","Deadly Persuasion","The Marsupial Illuminati","The Free Joy State",""
"#945","Police on the Take","Singapore no2","Candlewhisper Archive",""
"#946","Better In Than Out","Baggieland","Nation of Quebec",""
"#947","Imitation Station","Nation NameDotDotDot","Candlewhisper Archive",""
"#948","1x, 2x, 3x, A Lady","Candlewhisper Archive","Candlewhisper Archive",""
"#949","Jailhouses Rocked!","Altmer Dominion","Nation of Quebec",""
"#950","Borderline Pandemic","Singapore no2","Nation of Quebec",""
"#951","The Wrath of the Fish King","Palos Heights","Ransium",""
"#952","Why the Long Face?","Saidoria","The Marsupial Illuminati",""
"#953","The Ethnic Minority Report","Candlewhisper Archive","Caracasus",""
"#954","Varsity Blues","Carrasastova","Zwangzug",""
"#955","Can It!","Vincere Terrae","The Free Joy State",""
"#956","The Bottom of the Gun Barrel","Singapore no2","Candlewhisper Archive",""
"#957","Putrid Predicament","Singapore no2","Baggieland",""
"#958","Pay No Attention to That Donor Behind the Curtain!","Nation of Quebec","Nation of Quebec",""
"#959","A-Major Debate","Candensia","Ransium",""
"#960","Nobody Does It Better?","Incremenia","Pogaria",""
"#961","No Two Ways About It","Singapore no2","Pogaria",""
"#962","A Matter of Loaf and Death","The Free Joy State","Candlewhisper Archive",""
"#963","The @@LEADER@@ Meme","Siarki","Nation of Quebec",""
"#964","An Expensive Watch","Candlewhisper Archive","Baggieland",""
"#965","Like a Bull in a Daguo Shop","Singapore no2","The Marsupial Illuminati",""
"#966","As You Don't Like It","Altmer Dominion","Wyethalania",""
"#967","Lies, Damned Lies, and Statistics","The Atlae Isles","Candlewhisper Archive",""
"#968","@@NAME@@ Falls Flat In Singing Contest","Ransium","Candlewhisper Archive",""
"#969","Give Me Your Tired, Your Poor, Your Incredibly Sick!","Layvia","Pogaria",""
"#970","For Want of a Nail","Candlewhisper Archive","Candlewhisper Archive",""
"#971","Ambassadors Inextraordinary","Laeral","Zwangzug",""
"#972","Sing Heil!","Chan Island","The Free Joy State",""
"#973","Guided Missiles and Misguided Men","Chan Island","Pogaria",""
"#974","Siren Song","Candensia","Nation of Quebec",""
"#975","Paparazzi Parents","Frieden-und Freudenland","Nation of Quebec",""
"#976","Demonic Possession Getting You Down?","Baggieland","Nation of Quebec",""
"#977","Tragedy of Wounded Earlobe","Altmer Dominion","Candlewhisper Archive",""
"#978","Alone in the Dark","Zhokinland","Candlewhisper Archive",""
"#979","A Patronising Statement","Caracasus","Candlewhisper Archive",""
"#980","Small Claims","Nation of Quebec","Nation of Quebec",""
"#981","Westfailian Sovereignty","Australian rePublic","Baggieland",""
"#982","Your Move, @@LEADER@@?","Candlewhisper Archive","Zwangzug",""
"#983","Doctors' Orders","Nation of Quebec","The Free Joy State",""
"#984","A Midsummer Night's Snooze-Fest","Drayxaso","Nation of Quebec",""
"#985","Service With a Snarl","Chan Island","Nation of Quebec",""
"#986","Poacher Pandemic","New Socialist South Africa","Baggieland",""
"#987","Quia Scriptum Est","Candlewhisper Archive","Sanctaria",""
"#988","Highway Robbery by the Book!","Palos Heights","The Free Joy State",""
"#989","Gunman Wounds Three","Chan Island","Candlewhisper Archive",""
"#990","Baby Shower","Frieden-und Freudenland","The Marsupial Illuminati",""
"#991","Alms and Qualms","Buceroque","The Marsupial Illuminati",""
"#992","Robots in Disguise","Nation of Quebec","Candlewhisper Archive",""
"#993","Drug Deals","Candlewhisper Archive","Candlewhisper Archive",""
"#994","The Life of Riley","Baggieland","Candlewhisper Archive",""
"#995","A Cup Runneth Over","Kynice","The Marsupial Illuminati",""
"#996","Scripting a Change?","Chan Island","Baggieland",""
"#997","The Enemy Within: Not a Second Time","Candlewhisper Archive","Gnejs",""
"#998","Without Fear Or Favour","Singapore no2","Candlewhisper Archive",""
"#999","Just Plane Ridiculous","Singapore no2","Wyethalania",""
"#1000","Should Democracy Be Compulsory?","Maxtopia","Maxtopia",""
"#1001","Will the Real Victims Please Stand Up?","Nation of Quebec","Baggieland",""
"#1002","The Call of Nature","Frieden-und Freudenland","Candlewhisper Archive",""
"#1003","That Smarts","Candlewhisper Archive","The Free Joy State",""
"#1004","Two Countries and a Baby","Sanctaria","The Free Joy State",""
"#1005","What Goes Up Breaks Down","Eluvetia","Baggieland",""
"#1006","Opening the Door to Controversy","Duurfald","The Free Joy State",""
"#1007","Putting Your Foot in It","GeodesicDragon","Candlewhisper Archive",""
"#1008","Wash Your Mouth Out!","The Kind-of-United States","The Free Joy State",""
"#1009","A Woman's Roll","The Free Joy State","The Free Joy State",""
"#1010","What's Got Into @@NAME@@?","Baggieland","Candlewhisper Archive",""
"#1011","State of the Media","Singapore no2","Nation of Quebec",""
"#1012","Tilting at Wind Turbines","Singapore no2","Candlewhisper Archive",""
"#1013","Grave Disease","Suizo","The Marsupial Illuminati",""
"#1014","Unreasonable Doubt","Candlewhisper Archive","Candlewhisper Archive",""
"#1015","Court In the Middle","Commonwealth Republic of Andyrssia","Baggieland",""
"#1016","Breaking Upset","The United Providences of Perland","Baggieland",""
"#1017","A Cure for the Black Market","Baggieland","Baggieland",""
"#1018","Operation Failed","Sacara","Candlewhisper Archive",""
"#1019","Patent Nonsense","Singapore no2","Pogaria",""
"#1020","Bi-NO-Metric?","Arthropol","Candlewhisper Archive",""
"#1021","Room and Board Games","Esterild","Nation of Quebec",""
"#1022","Failure to Respond","Australian rePublic","Candlewhisper Archive",""
"#1023","Pure Madness","Frieden-und Freudenland","The Free Joy State",""
"#1024","Terms and Conditions Apply?","Singapore no2","Candlewhisper Archive",""
"#1025","A Meal to Die For","Candensia","Candlewhisper Archive",""
"#1026","Size Matters","Candlewhisper Archive","Candlewhisper Archive",""
"#1027","Murder in Mind","Singapore no2","The Free Joy State",""
"#1028","Can't Get Enough of You Baby","Gnejs","Baggieland",""
"#1029","Frozen Assets","USS Monitor","Candlewhisper Archive",""
"#1030","Looking Down in the Dumps","Chan Island","Candlewhisper Archive",""
"#1031","Down in the Groove","Schiltzberg","Baggieland",""
"#1032","So... That Worked","Chan Island","Zwangzug",""
"#1033","Someone to Watch Over Me","Nuremgard","The Free Joy State",""
"#1034","Counting Coups","Fauxia","Candlewhisper Archive",""
"#1035","Bringing a Bayonet to a Gunfight","Chan Island","Baggieland",""
"#1036","When in Maxtopia","Nation of Quebec","Nation of Quebec",""
"#1037","Ill Girl","The Free Joy State","Candlewhisper Archive",""
"#1038","Maid to Order","Candlewhisper Archive","Candlewhisper Archive",""
"#1039","You've Got Mail","Jutsa","The Free Joy State",""
"#1040","A Recipe for Success?","State of Minnmar","Candlewhisper Archive",""
"#1041","A Sport Retort","Pogaria & Baggieland","Pogaria & Baggieland",""
"#1042","Failure to Launch","The Sakhalinsk Empire","Zwangzug",""
"#1043","Foundering Fashionistas","The Free Joy State","Candlewhisper Archive",""
"#1044","OK Stupid","Nation of Quebec","The Free Joy State",""
"#1045","The Enemy Within: Gimme Some Truth","Drasnia","Candlewhisper Archive",""
"#1046","Buffing Up Our Hospitals?","Palos Heights","Sanctaria",""
"#1047","Rivers of Blood","Candensia","The Marsupial Illuminati",""
"#1048","Tatty Treaty Spat Turns Catty","Yahlia","Pogaria",""
"#1049","Hard Times Ahead?","Candlewhisper Archive","The Free Joy State",""
"#1050","Criminal Guns Soon To Be Shooting Blanks","Sacara","The Marsupial Illuminati",""
"#1051","Take to the Skies","Splendania","Frieden-und Freudenland",""
"#1052","The Prisoners' Dilemma","Caracasus","The Free Joy State",""
"#1053","Some Enchanted Evening That Was","The Free Joy State","Wyethalania",""
"#1054","Herbal Trouble","Frieden-und Freudenland","The Free Joy State",""
"#1055","Fishy Predictions","Baggieland","Candlewhisper Archive",""
"#1056","Time to Work?","Candlewhisper Archive","Candlewhisper Archive",""
"#1057","Baby, It's Cold Outside","-WeedLand-","Zwangzug",""
"#1058","LEEDing From Behind","Altmer Dominion","The Marsupial Illuminati",""
"#1059","Footing the Bill","Baggieland & Pogaria","Baggieland & Pogaria",""
"#1060","Hole in the Wall","Singapore no2","Candlewhisper Archive",""
"#1061","Every Day I'm Muffling","Sapnu puas","Candlewhisper Archive",""
"#1062","The Hunt for the Violet November","The-CID","Candlewhisper Archive",""
"#1063","Playing It by the Numbers","Candlewhisper Archive","Caracasus",""
"#1064","Culture Wars","Baggieland","Baggieland",""
"#1065","Pulling Out","Jutsa","The Marsupial Illuminati",""
"#1066","It's an Honour Just to Be Condemned","The Free Joy State","Nation of Quebec",""
"#1067","Don't Fear the Reefer","Nation of Quebec","Pogaria",""
"#1068","Made to Break","Frieden-und Freudenland","Candlewhisper Archive",""
"#1069","Bowl Motions","Candlewhisper Archive","Candlewhisper Archive",""
"#1070","Skeletons in the Closet","Sacara","Candlewhisper Archive",""
"#1071","Up the Creek","Australian rePublic","The Marsupial Illuminati",""
"#1072","Holographic Harmonization","Nation of Quebec","Candlewhisper Archive",""
"#1073","Much Ado About Everything","East Oceania","Baggieland",""
"#1074","Halting the Heirloom Heist!","Candensia","Candlewhisper Archive",""
"#1075","The Hand That Feeds","Gnejs","The Marsupial Illuminati",""
"#1076","Smokers Cornered","Lancaster of Wessex","Baggieland",""
"#1077","With Friends Like These...","Sacara","Candlewhisper Archive",""
"#1078","Down With That?","Sacara","Baggieland",""
"#1079","What's Love Got to Do With It?","The Free Joy State","Baggieland",""
"#1080","The End Was Nigh","Jutsa","Candlewhisper Archive",""
"#1081","The Queen in Yellow","Candlewhisper Archive","Candlewhisper Archive",""
"#1082","It's Hard to Separate the Truth From Entertainment","USS Monitor","Pogaria",""
"#1083","Public Protesting Pawnbroker Pickpockets","Aethyric Peoples","Zwangzug",""
"#1084","How Now Kowtow?","Nuremgard","The Free Joy State",""
"#1085","Nuke Before You Leap","Nation of Quebec","The Marsupial Illuminati",""
"#1086","Fun in the Sun","Baggieland","Baggieland",""
"#1087","An International Dictatorial Dilemma","Chan Island","Pogaria",""
"#1088","Inexpert Opinions","Atlantica Primerous","Candlewhisper Archive",""
"#1089","Woman Trouble","The Free Joy State","Candlewhisper Archive",""
"#1090","I Ain't Afraid of No Girls","The Free Joy State","The Marsupial Illuminati",""
"#1091","The Great Divide","Koreas North","The Free Joy State",""
"#1092","The Boys from Brasilistan","USS Monitor","Candlewhisper Archive",""
"#1093","Ignorance is No Excuse?","Matroyska","Pogaria",""
"#1094","A Political Cover-Up","Jutsa","Baggieland",""
"#1095","Make The Cut","Australian rePublic","Candlewhisper Archive",""
"#1096","En Bloc","Jutsa","Gnejs",""
"#1097","What Do We Do With a Drunken Sailor?","Caracasus","Baggieland",""
"#1098","Edged Out","Candlewhisper Archive","Candlewhisper Archive",""
"#1099","New Satellite Blues","Ransium","Pogaria",""
"#1100","Raiders of the Lost Archive","Helaw","Nation of Quebec",""
"#1101","Unreal","The Free Joy State","Candlewhisper Archive",""
"#1102","The Sickest Criminals","Candensia","USS Monitor",""
"#1103","Daguo Takeaway","Australian rePublic","Baggieland",""
"#1104","Balancing the Books","Braskia","Ransium",""
"#1105","A Green History Lesson","Chan Island","Candlewhisper Archive",""
"#1106","Some Body to Love","Candlewhisper Archive","Baggieland",""
"#1107","Welcome to the Party","Caracasus","Gnejs",""
"#1108","A Whiskey Rebellion Brewing","Verdant Haven","Candlewhisper Archive",""
"#1109","Of Mice and Meth","Jutsa","USS Monitor",""
"#1110","Curtains for the Horrorshow","Sacara","Candlewhisper Archive",""
"#1111","A Call for Change","Candlewhisper Archive","Candlewhisper Archive",""
"#1112","Stray Bullets","Jutsa","Candlewhisper Archive",""
"#1113","No Sex Please, We're @@DEMONYMADJECTIVE@@","The Free Joy State","The Free Joy State",""
"#1114","Patriotism Flagging","Sacara","Baggieland",""
"#1115","One in the Arm for @@LEADER@@?","Turbeaux & Tinhampton","Caracasus",""
"#1116","To Each According to His Feed","Candlewhisper Archive","The Free Joy State",""
"#1117","Suffer Little Children","The Free Joy State","Candlewhisper Archive",""
"#1118","We Can't Cross That Bridge When We Get to It","Nedanelden","Zwangzug",""
"#1119","Where There Isn't Smoke","Ransium & Caracasus","Candlewhisper Archive",""
"#1120","Following Yonder Star","Bears Armed","Pogaria",""
"#1121","Tribes and Tribulations","Nation of Quebec","The Free Joy State",""
"#1122","Easter Egg: Just Say No to E","Zwangzug","Zwangzug",""
"#1123","Til Death Do Us Part","Sacara","The Marsupial Illuminati",""
"#1124","Signing Off, Your God","Fauxia","The Marsupial Illuminati",""
"#1125","Blowing Smoke","Ransium","Candlewhisper Archive",""
"#1126","Waste of Time","Candlewhisper Archive","Candlewhisper Archive",""
"#1127","The Fast and the Fossilized","Szargia","Candlewhisper Archive",""
"#1128","Get Thee Behind Me, Santa","Candlewhisper Archive","The Free Joy State",""
"#1129","Behind the Red Curtain","Caracasus","The Free Joy State",""
"#1130","Flash Crash Cash Dash","Verdant Haven","Candlewhisper Archive",""
"#1131","Safe Sects","The Free Joy State","Nation of Quebec",""
"#1132","Gold Standards","Baggieland","Baggieland",""
"#1133","Rocky Road","Candensia","Nation of Quebec",""
"#1134","Tariff-ic Trouble","GeodesicDragon","Zwangzug",""
"#1135","My Eyes Are Up Here","Sacara","Candlewhisper Archive",""
"#1136","Money Talks","Frieden-und Freudenland","Candlewhisper Archive",""
"#1137","A Really Sour Lemon","Yotongrek & Jutsa","Pogaria",""
"#1138","Shock Tactics","Candlewhisper Archive","Candlewhisper Archive",""
"#1139","A Little Wrestling, a Lot of Controversy","USS Monitor","Candlewhisper Archive",""
"#1140","Blinded by the Light","Nation of Quebec","Nation of Quebec",""
"#1141","The Trolley Problem","Verdant Haven","Pogaria",""
"#1142","Womb Service","Pirate States of Morgana","The Free Joy State",""
"#1143","Running From Time","Baggieland","Candlewhisper Archive",""
"#1144","A Noble Cause for a Fight","Fardhin","Altmer Dominion",""
"#1145","Your Wild Self(ie)","Altmer Dominion","Nation of Quebec",""
"#1146","Mother Knows Best?","Sacara","The Marsupial Illuminati",""
"#1147","The Long Walk","Nation of Quebec","Candlewhisper Archive",""
"#1148","Unfit for Purpose","Nuremgard","Nation of Quebec",""
"#1149","The Goriest Advertisement","Chan Island","Pogaria",""
"#1150","Back Lash Backlash","Jutsa","Candlewhisper Archive",""
"#1151","Gotta Go Fast","Frieden-und Freudenland","Baggieland",""
"#1152","Everybody Was Kung-Fu Fighting!","Bears Armed","Nation of Quebec",""
"#1153","Side Effects","Candensia","Nation of Quebec",""
"#1154","Foreign Tax Credits Leave Film Industry Reeling","Nation of Quebec","Nation of Quebec",""
"#1155","The Banquet of Walnuts","Verdant Haven","The Marsupial Illuminati",""
"#1156","Pet Theory","Candlewhisper Archive","Candlewhisper Archive",""
"#1157","Rodney and Julietta","The Free Joy State","Pogaria",""
"#1158","Flying Into a Rage","Australian rePublic","Candlewhisper Archive",""
"#1159","The Sad State of Affairs","Jutsa","Baggieland",""
"#1160","Milking It","Frieden-und Freudenland","Candlewhisper Archive",""
"#1161","Chip Off the Ol' Block","Jutsa","Nation of Quebec",""
"#1162","She's Always a Woman to Me","The Marsupial Illuminati","Gnejs",""
"#1163","Some Assembly Required","Austral Coast","Altmer Dominion",""
"#1164","What a Gneiss Place We've Got Here","Chan Island","Luna Amore",""
"#1165","Crosswords Beget Angry Letters","Lislandia","Nation of Quebec",""
"#1166","Acres Wild","Altmer Dominion","Nation of Quebec",""
"#1167","Another Brick in the Wall","Sacara","Baggieland",""
"#1168","Too Much Too Young","Candlewhisper Archive","Nation of Quebec",""
"#1169","An Old Head on Young Shoulders","Candensia","Candlewhisper Archive",""
"#1170","To Catch a Beef","Luna Amore","Candlewhisper Archive",""
"#1171","Match Made in Heaven?","Candlewhisper Archive","Candlewhisper Archive",""
"#1172","Piled Higher and Deeper","Ransium","Altmer Dominion",""
"#1173","Thinking a Little Too Hard?","Krusavich","Candlewhisper Archive",""
"#1174","Bad Press","Frieden-und Freudenland","Candlewhisper Archive",""
"#1175","Can I Borrow a Word?","Frieden-und Freudenland","Baggieland",""
"#1176","Haters Gonna Hate","Skottengrad","Candlewhisper Archive",""
"#1177","A Funny Old Game","Outer Sparta","Candlewhisper Archive",""
"#1178","No Need to Beat Yourself Up About It","Baggieland","The Marsupial Illuminati",""
"#1179","Nothing Fishy","Ransium","Ransium & Candlewhisper Archive",""
